experiment_id,json_valid,json_preview
51,true,{"recipe_name": "Fruit Cake"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protein
52,true,{"recipe_name": "Appam Balik Pizza"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "
53,true,{"recipe_name": "Frozen Apple Nectar"  "servings_estimated": 1  "per_serving": {"calories": 50  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 12  "fiber_g": 2  "sugars_g": 
54,true,{"recipe_name": "Bagel Chips Honey Butter"  "servings_estimated": 1  "per_serving": {"calories": 220  "total_fat_g": 16  "saturated_fat_g": 12  "sodium_mg": 150  "carbohydrate_g": 25  "fiber_g": 0  "s
55,true,{"recipe_name": "Baked Potato with Japanese Salmon Filling"  "servings_estimated": 1  "per_serving": {"calories": 400  "total_fat_g": 30  "saturated_fat_g": 10  "sodium_mg": 200  "carbohydrate_g": 20 
56,true,{"recipe_name": "Banana Creme Brule"  "servings_estimated": 1  "per_serving": {"calories": 340  "total_fat_g": 26  "saturated_fat_g": 10  "sodium_mg": 50  "carbohydrate_g": 30  "fiber_g": 3  "sugars_g
57,true,{"recipe_name": "Aci Dace dengan Black Bean"  "servings_estimated": 1  "per_serving": {"calories": 420  "total_fat_g": 24  "saturated_fat_g": 8  "sodium_mg": 450  "carbohydrate_g": 20  "fiber_g": 5  "
58,true,{"recipe_name": "Kuih Balu Butter"  "servings_estimated": 8  "per_serving": {"calories": 232  "total_fat_g": 16  "saturated_fat_g": 11  "sodium_mg": 50  "carbohydrate_g": 24  "fiber_g": 1  "sugars_g":
59,true,{"recipe_name": "Lazy Cake Batik"  "servings_estimated": 12  "per_serving": {"calories": 230  "total_fat_g": 18  "saturated_fat_g": 11.5  "sodium_mg": 70  "carbohydrate_g": 1  "fiber_g": 0  "sugars_g"
60,true,{"recipe_name": "Castella Cake"  "servings_estimated": 8  "per_serving": {"calories": 250  "total_fat_g": 16  "saturated_fat_g": 11  "sodium_mg": 20  "carbohydrate_g": 25  "fiber_g": 0  "sugars_g": 20
61,true,{     "recipe_name": "Century Egg Carbonara"      "servings_estimated": 1      "per_serving": {         "calories": 542          "total_fat_g": 54          "saturated_fat_g": 13          "sodium_mg": 
62,true,{"recipe_name": "Chicken Lemak Rice"  "servings_estimated": 1  "per_serving": {"calories": 550  "total_fat_g": 35  "saturated_fat_g": 20  "sodium_mg": 350  "carbohydrate_g": 45  "fiber_g": 5  "sugars_
63,true,{"recipe_name": "Hainanese Chicken Rice Balls"  "servings_estimated": 1  "per_serving": {"calories": 250  "total_fat_g": 10  "saturated_fat_g": 3.5  "sodium_mg": 350  "carbohydrate_g": 20  "fiber_g": 
64,true,{"recipe_name": "Waterless Chicken Soup"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g":
65,true,{"recipe_name": "Lei La Jiao"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protei
66,true,{"recipe_name": "Coco Crunch Strawberry"  "servings_estimated": 1  "per_serving": {"calories": 250  "total_fat_g": 10  "saturated_fat_g": 2.5  "sodium_mg": 50  "carbohydrate_g": 30  "fiber_g": 0  "sug
67,true,{"recipe_name": "Corn Tart"  "servings_estimated": 8  "per_serving": {"calories": 278  "total_fat_g": 14  "saturated_fat_g": 3.5  "sodium_mg": 50  "carbohydrate_g": 36  "fiber_g": 2  "sugars_g": 20  "
68,true,{"recipe_name": "Croissant Cereal"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "p
69,true,{"recipe_name": "Black Sesame Tong Yuen Cookie"  "servings_estimated": 2  "per_serving": {"calories": 250  "total_fat_g": 15  "saturated_fat_g": 10  "sodium_mg": 50  "carbohydrate_g": 25  "fiber_g": 2
70,true,{"recipe_name": "Durian Curry"  "servings_estimated": 4  "per_serving": {"calories": 220  "total_fat_g": 18  "saturated_fat_g": 3.5  "sodium_mg": 300  "carbohydrate_g": 20  "fiber_g": 2  "sugars_g": 1
71,true,{"recipe_name": "Espresso Marti-Kucing"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 
72,true,{"recipe_name": "Fries"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protein_g": 
73,true,{"recipe_name": "Kante Ice Cream"  "servings_estimated": 1  "per_serving": {"calories": 230  "total_fat_g": 18  "saturated_fat_g": 10  "sodium_mg": 70  "carbohydrate_g": 1  "fiber_g": 0  "sugars_g": 0
74,true,{"recipe_name": "Gula Melaka Cake"  "servings_estimated": 8  "per_serving": {"calories": 320  "total_fat_g": 20  "saturated_fat_g": 12  "sodium_mg": 100  "carbohydrate_g": 30  "fiber_g": 2  "sugars_g"
75,true,{"recipe_name": "Kaya Toast"  "servings_estimated": 1  "per_serving": {"calories": 320  "total_fat_g": 22  "saturated_fat_g": 8  "sodium_mg": 250  "carbohydrate_g": 30  "fiber_g": 0  "sugars_g": 20  "
76,true,{"recipe_name": "Kimchi Grilled Cheese"  "servings_estimated": 1  "per_serving": {"calories": 540  "total_fat_g": 30  "saturated_fat_g": 12  "sodium_mg": 400  "carbohydrate_g": 40  "fiber_g": 2  "suga
77,true,{"recipe_name": "Korean Salt Bread"  "servings_estimated": 8  "per_serving": {"calories": 240  "total_fat_g": 18  "saturated_fat_g": 12  "sodium_mg": 350  "carbohydrate_g": 25  "fiber_g": 2  "sugars_g
78,true,{"recipe_name": "Kueh Ketayap"  "servings_estimated": 1  "per_serving": {"calories": 375  "total_fat_g": 22  "saturated_fat_g": 14  "sodium_mg": 120  "carbohydrate_g": 30  "fiber_g": 2  "sugars_g": 20
79,true,{"recipe_name": "Kuih Talam XL Kopi Kau Kau Extra Intense Melele"  "servings_estimated": 8  "per_serving": {"calories": 350  "total_fat_g": 20  "saturated_fat_g": 12  "sodium_mg": 100  "carbohydrate_g
80,true,{"recipe_name": "Mala Pasta"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protein
81,true,{"recipe_name": "Bandung Matcha"  "servings_estimated": 1  "per_serving": {"calories": 170  "total_fat_g": 10  "saturated_fat_g": 2  "sodium_mg": 20  "carbohydrate_g": 25  "fiber_g": 0  "sugars_g": 22
82,true,{"recipe_name": "Mentaiko Pasta"  "servings_estimated": 1  "per_serving": {"calories": 432  "total_fat_g": 26  "saturated_fat_g": 4.5  "sodium_mg": 320  "carbohydrate_g": 20  "fiber_g": 0  "sugars_g":
83,true,{ "recipe_name": "Mooncake Wellington"  "servings_estimated": 1  "per_serving": { "calories": 432  "total_fat_g": 34  "saturated_fat_g": 10.5  "sodium_mg": 250  "carbohydrate_g": 25  "fiber_g": 2  "su
84,true,{   "recipe_name": "Mug Lasagna"    "servings_estimated": 1    "per_serving": {     "calories": 550      "total_fat_g": 40      "saturated_fat_g": 15      "sodium_mg": 400      "carbohydrate_g": 20   
85,true,{"recipe_name": "Golden Diner Pavillion Pancakes"  "servings_estimated": 1  "per_serving": {"calories": 300  "total_fat_g": 16  "saturated_fat_g": 8  "sodium_mg": 100  "carbohydrate_g": 20  "fiber_g":
86,true,{"recipe_name": "Papaya Snow Fungus Soup"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g"
87,true,{"recipe_name": "Peanut Cookies"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "pro
88,true,{"recipe_name": "Pickle Shaved Ice Dessert"  "servings_estimated": 1  "per_serving": {"calories": 250  "total_fat_g": 15  "saturated_fat_g": 5  "sodium_mg": 50  "carbohydrate_g": 30  "fiber_g": 2  "su
89,true,{"recipe_name": "Pineapple Bun"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "prot
90,true,{"recipe_name": "Juk Pie"  "servings_estimated": 1  "per_serving": {"calories": 420  "total_fat_g": 24  "saturated_fat_g": 4  "sodium_mg": 350  "carbohydrate_g": 45  "fiber_g": 2  "sugars_g": 10  "pro
91,true,{"recipe_name": "Noodles Carbonara"  "servings_estimated": 2  "per_serving": {"calories": 420  "total_fat_g": 36  "saturated_fat_g": 12  "sodium_mg": 250  "carbohydrate_g": 30  "fiber_g": 4  "sugars_g
92,true,{  "recipe_name": "Potato Cream Udon Curry"   "servings_estimated": 1   "per_serving": {   "calories": 0    "total_fat_g": 0    "saturated_fat_g": 0    "sodium_mg": 0    "carbohydrate_g": 0    "fiber_
93,true,{"recipe_name": "Rice Paper Croissant"  "servings_estimated": 1  "per_serving": {"calories": 240  "total_fat_g": 16  "saturated_fat_g": 10  "sodium_mg": 200  "carbohydrate_g": 20  "fiber_g": 2  "sugar
94,true,{"recipe_name": "Roti-Boy Cookies"  "servings_estimated": 12  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "
95,true,{"recipe_name": "Roti-Boy Coffee Bun Toast"  "servings_estimated": 1  "per_serving": {"calories": 230  "total_fat_g": 18  "saturated_fat_g": 2.5  "sodium_mg": 70  "carbohydrate_g": 30  "fiber_g": 0  "
96,true,{"recipe_name": "Salmon Baked Potato"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0 
97,true,{"recipe_name": "Mandarin Orange Sticky Pudding"  "servings_estimated": 8  "per_serving": {"calories": 370  "total_fat_g": 16  "saturated_fat_g": 9  "sodium_mg": 150  "carbohydrate_g": 50  "fiber_g": 
98,true,{"recipe_name": "Chumuk Bab with Super Ring"  "servings_estimated": 8  "per_serving": {"calories": 140  "total_fat_g": 7  "saturated_fat_g": 1.5  "sodium_mg": 70  "carbohydrate_g": 10  "fiber_g": 2  "
99,true,{"recipe_name": "Mad Coconut-Y Thai Milk Ice Cream Bars"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g"
100,true,{"recipe_name": "Watermelon Sandwich"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0 
101,true,{"recipe_name": "Appam Balik Pizza"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "
102,true,{"recipe_name": "Frozen Apple Juice"  "servings_estimated": 1  "per_serving": {"calories": 44  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 11  "fiber_g": 0  "sugars_g": 9
103,true,{"recipe_name": "Homemade Bagel Chips with Honey Butter"  "servings_estimated": 1  "per_serving": {"calories": 420  "total_fat_g": 29  "saturated_fat_g": 4  "sodium_mg": 200  "carbohydrate_g": 24  "fi
104,true,{"recipe_name": "Japanese Salmon Baked Potato"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "suga
105,true,{"recipe_name": "Banana Creme Brule"  "servings_estimated": 1  "per_serving": {"calories": 542  "total_fat_g": 37  "saturated_fat_g": 22  "sodium_mg": 20  "carbohydrate_g": 61  "fiber_g": 2  "sugars_g
106,true,{"recipe_name": "Malaysian Fried Dace Pasta"  "servings_estimated": 1  "per_serving": {"calories": 520  "total_fat_g": 12  "saturated_fat_g": 2  "sodium_mg": 940  "carbohydrate_g": 73  "fiber_g": 4  "
107,true,{"recipe_name": "Buttered Dog Dessert"  "servings_estimated": 8  "per_serving": {"calories": 420  "total_fat_g": 26  "saturated_fat_g": 16  "sodium_mg": 10  "carbohydrate_g": 44  "fiber_g": 2  "sugars
108,true,{"recipe_name": "Malaysian Cake Batik"  "servings_estimated": 12  "per_serving": {"calories": 432  "total_fat_g": 24  "saturated_fat_g": 14  "sodium_mg": 200  "carbohydrate_g": 56  "fiber_g": 2  "suga
109,true,{"recipe_name": "Castella Cake"  "servings_estimated": 8  "per_serving": {"calories": 240  "total_fat_g": 13  "saturated_fat_g": 9  "sodium_mg": 50  "carbohydrate_g": 25  "fiber_g": 0  "sugars_g": 18 
110,true,{"recipe_name": "Century Egg Carbonara"  "servings_estimated": 1  "per_serving": {"calories": 550  "total_fat_g": 36  "saturated_fat_g": 12  "sodium_mg": 350  "carbohydrate_g": 20  "fiber_g": 0  "suga
111,true,{"recipe_name": "Chicken Lemak Rice"  "servings_estimated": 8  "per_serving": {"calories": 544  "total_fat_g": 32  "saturated_fat_g": 16  "sodium_mg": 350  "carbohydrate_g": 53  "fiber_g": 2  "sugars_
112,true,{"recipe_name": "Hainanese Chicken Rice Balls"  "servings_estimated": 1  "per_serving": {"calories": 542  "total_fat_g": 32  "saturated_fat_g": 10  "sodium_mg": 472  "carbohydrate_g": 40  "fiber_g": 2
113,true,{"recipe_name": "Waterless Chicken Soup"  "servings_estimated": 1  "per_serving": {"calories": 530  "total_fat_g": 17  "saturated_fat_g": 6  "sodium_mg": 400  "carbohydrate_g": 60  "fiber_g": 8  "suga
114,true,{"recipe_name": "Lei La Jiao"  "servings_estimated": 1  "per_serving": {"calories": 0  "total_fat_g": 0  "saturated_fat_g": 0  "sodium_mg": 0  "carbohydrate_g": 0  "fiber_g": 0  "sugars_g": 0  "protei
115,true,{"recipe_name": "Coco Crunch Strawberry"  "servings_estimated": 1  "per_serving": {"calories": 350  "total_fat_g": 14  "saturated_fat_g": 10  "sodium_mg": 150  "carbohydrate_g": 45  "fiber_g": 3  "sug
116,true,{"recipe_name": "Seoul Corn Tart"  "servings_estimated": 8  "per_serving": {"calories": 432  "total_fat_g": 26  "saturated_fat_g": 16  "sodium_mg": 150  "carbohydrate_g": 40  "fiber_g": 2  "sugars_g":
117,true,{"recipe_name": "Croissant Cereal"  "servings_estimated": 1  "per_serving": {"calories": 420  "total_fat_g": 25  "saturated_fat_g": 10  "sodium_mg": 250  "carbohydrate_g": 35  "fiber_g": 2  "sugars_g"
118,true,{"recipe_name": "Black Sesame Tong Yuen Cookies"  "servings_estimated": 12  "per_serving": {"calories": 240  "total_fat_g": 13  "saturated_fat_g": 9  "sodium_mg": 100  "carbohydrate_g": 25  "fiber_g":
119,true,{"recipe_name": "Durian Curry"  "servings_estimated": 1  "per_serving": {"calories": 432  "total_fat_g": 14  "saturated_fat_g": 9  "sodium_mg": 250  "carbohydrate_g": 51  "fiber_g": 4  "sugars_g": 23 
120,true,{"recipe_name": "Espresso Marta Kucing"  "servings_estimated": 1  "per_serving": {"calories": 240  "total_fat_g": 11  "saturated_fat_g": 7  "sodium_mg": 50  "carbohydrate_g": 34  "fiber_g": 2  "sugars
