experiment_id,ingredient_id,name_en,estimated_weight_g
13,86,napa cabbage,200.0
13,87,spring onions,100.0
13,88,ginger,100.0
13,89,goji berries,100.0
14,90,,150.0
14,91,,100.0
14,92,,50.0
14,93,,20.0
14,94,,200.0
14,95,,100.0
14,96,,50.0
14,97,,50.0
15,98,Frosted Wheat Flakes,100.0
15,99,Strawberry,100.0
15,100,Sugar,100.0
15,101,Cocoa,100.0
15,102,Salt,10.0
16,103,corn,200.0
16,104,milk,100.0
16,105,brown butter,50.0
16,106,flour,100.0
16,107,cornstarch,20.0
16,108,sugar,100.0
16,109,egg yolks,50.0
16,110,vanilla,5.0
16,111,rum,10.0
16,112,whipped cream,200.0
16,113,oats,100.0
17,114,All-Purpose Flour,225.0
17,115,Unsalted Butter,100.0
17,116,Granulated Sugar,18.0
17,117,Salt,5.0
17,118,Milk,125.0
18,119,,120.0
18,120,,80.0
18,121,black sesame seeds,50.0
18,122,black sesame paste,20.0
18,123,,10.0
19,124,Chicken breast,500.0
19,125,Potatoes,200.0
19,126,Carrots,150.0
19,127,Curry paste,50.0
19,128,Durian flesh,120.0
20,129,Gula Melaka,50.0
20,130,Pandan Leaves,20.0
20,131,Lo-Hon-Gor or Manfurt,50.0
20,132,Longan Fruit,20.0
20,133,Nescafe Espresso Concentrate (Sweet Vanilla),100.0
21,134,potatoes,500.0
21,135,oil,60.0
21,136,salt,10.0
21,137,pepper,5.0
21,138,baking powder,5.0
22,,,
23,139,Kante,500.0
23,140,Sweetened Condensed Milk,300.0
23,141,Heavy Whipping Cream,250.0
23,142,Miso Paste,50.0
23,143,Kante Powder,20.0
23,144,Kelp Sheets,20.0
24,145,Gula Melaka,200.0
24,146,Coconut Milk,750.0
24,147,Butter,225.0
24,148,Sugar,200.0
24,149,Eggs,120.0
24,150,Longans (Rum Soaked),200.0
25,,,
26,151,Kimchi,250.0
26,152,Bread,80.0
26,153,Cheese,100.0
27,154,Flour,364.0
27,155,All Purpose Flour,227.0
27,156,Sugar,114.0
27,157,Salt,7.0
27,158,Yeast,28.0
27,159,Water,368.0
27,160,Butter,284.0
28,161,Pandan leaves,20.0
28,162,Coconut milk,750.0
28,163,Egg,50.0
28,164,Palm sugar,200.0
28,165,Salt,2.0
28,166,Oil,170.0
28,167,Flour,364.0
29,168,Kopi Kau Kau,100.0
29,169,Gula Melaka,250.0
29,170,All-purpose Flour,130.0
29,171,,900.0
29,172,Jaggery,120.0
29,173,Peanuts,60.0
29,174,Tapioca Flour,90.0
29,175,Milk,150.0
29,176,Pandan Cream,30.0
30,177,Garlic,18.0
30,178,Ginger,6.0
30,179,Chilies,6.0
30,180,Sichuan Peppercorns,3.0
30,181,Five-Spice Powder,10.0
30,182,Lao Gan Ma,30.0
30,183,Egg,50.0
30,184,Cream,120.0
30,185,Soy Sauce,25.0
30,186,Sesame Oil,10.0
30,187,Spaghetti,360.0
30,188,Spring Onions,20.0
31,189,,200.0
31,190,,100.0
31,191,,50.0
31,192,,100.0
31,193,,100.0
31,194,,200.0
32,195,egg,50.0
32,196,pasta,200.0
32,197,mentaiko,30.0
32,198,mayo,10.0
32,199,soy sauce,5.0
32,200,cheese,15.0
32,201,black pepper,2.0
33,202,Flour,250.0
33,203,Golden Syrup,120.0
33,204,Lye Water,55.0
33,205,Oil,22.0
33,206,Beef,180.0
33,207,Mushroom Duxelles,90.0
33,208,Parma Ham,40.0
33,209,Mustard,7.0
33,210,Pastry,220.0
34,211,Ground Beef,200.0
34,212,Onion,150.0
34,213,Kimchi,50.0
34,214,Broken Up Pasta,100.0
34,215,Ricotta Cheese,150.0
34,216,Mozzarella Cheese,100.0
34,217,Tomato Sauce,200.0
35,218,Egg Whites,120.0
35,219,Sugar,60.0
35,220,Corn Flour,200.0
35,221,Egg Yolks,60.0
35,222,Salt,10.0
35,223,Milk,170.0
35,224,Honey,50.0
35,225,Butter,100.0
35,226,Soy Sauce,50.0
35,227,Vanilla,10.0
36,228,Snow Fungus,50.0
36,229,Red Dates,20.0
36,230,Goji Berries,10.0
36,231,Dried Longans,10.0
36,232,Papaya,30.0
37,233,Peanut Butter,50.0
37,234,All-Purpose Flour,100.0
37,235,Sugar,50.0
37,236,Salt,5.0
37,237,Baking Powder,5.0
37,238,Oil,20.0
37,239,Sesame Oil,5.0
37,240,Peanuts,50.0
38,241,Sweet Cream,120.0
38,242,Berries,150.0
38,243,Caramel,40.0
38,244,Pickles,250.0
39,245,Flour,100.0
39,246,Yeast,10.0
39,247,Sugar,20.0
39,248,Salt,5.0
39,249,Butter,25.0
39,250,Pineapple Juice,80.0
39,251,Egg,50.0
39,252,Sugar,50.0
40,253,Chicken,200.0
40,254,Abalone,80.0
40,255,Ginger,15.0
40,256,Spring Onions,20.0
40,257,Rice,180.0
40,258,Soy Sauce,50.0
40,259,Sesame Oil,20.0
40,260,Puff Pastry,120.0
41,,,
42,261,Potatoes,200.0
42,262,Onions,100.0
42,263,Carrots,50.0
42,264,Whipped Cream,100.0
42,265,Japanese Curry Powder,20.0
42,266,Udon Noodles,100.0
42,267,Chicken Breast,50.0
43,,,
44,268,Butter,35.0
44,269,Sugar,6.48
44,270,Instant Coffee,6.0
44,271,Egg,50.0
44,272,Vanilla,6.0
44,273,Flour,140.5
44,274,Baking Powder,3.125
44,275,Salt,1.25
44,276,Flaky Salt,6.3
45,277,Butter,28.35
45,278,Sugar,6.25
45,279,Egg,50.0
45,280,Coffee,10.0
45,281,Water,0.0
45,282,Vanilla,5.0
45,283,Flour,364.0
46,284,Japanese Salmon,150.0
46,285,Garlic Oil,15.0
46,286,Salt,5.0
46,287,Japanese Mayo,10.0
46,288,Spring Onions,15.0
46,289,Tobiko,5.0
46,290,Potatoes,250.0
46,291,Garlic,10.0
47,292,Mandarin Oranges,1000.0
47,293,Sugar,180.0
47,294,Eggs,120.0
47,295,Flour,90.0
47,296,Baking Powder,5.0
47,297,Baking Soda,5.0
47,298,Salt,5.0
47,299,Butter,45.0
47,300,Palm Sugar,90.0
47,301,Cream,40.0
48,302,Super Ring,50.0
48,303,Rice,400.0
48,304,Seaweed,20.0
48,305,Sesame Seeds,20.0
48,306,Sesame Oil,20.0
49,307,Thai Tea Leaves,2.5
49,308,Sugar,114.0
49,309,Eggs,120.0
49,310,Heavy Cream,280.0
49,311,Toasted Coconut Flakes,120.0
49,312,Unsweetened Almond Milk,260.0
49,313,Unsalted Butter,55.0
49,314,Sabayon Thickener,5.0
49,315,Vanilla Extract,5.0
49,316,Salt,3.0
50,317,watermelon,400.0
50,318,tomatoes,120.0
50,319,mozzarella,80.0
50,320,basil,10.0
50,321,olive oil,20.0
50,322,balsamic vinegar,50.0
50,323,flaky salt,5.0
50,324,prosciutto,60.0
51,325,egg,50.0
51,326,gula melaka syrup,180.0
51,327,cooking oil,14.0
51,328,dried persimmons,35.0
51,329,longans,50.0
51,330,red dates,50.0
51,331,raisins,30.0
51,332,baking powder,10.0
51,333,Korean pear,20.0
51,334,granulated sugar,350.0
51,335,baking powder,10.0
51,336,egg,50.0
51,337,Korean pear,20.0
51,338,cooking oil,14.0
51,339,dried persimmons,35.0
51,340,longans,50.0
51,341,red dates,50.0
51,342,raisins,30.0
51,343,baking powder,10.0
51,344,cooking oil,14.0
52,345,egg,100.0
52,346,sugar,50.0
52,347,salt,5.0
52,348,baking powder,10.0
52,349,yeast,10.0
52,350,milk,800.0
52,351,tomato,120.0
52,352,mozzarella cheese,200.0
52,353,prosciutto,50.0
52,354,arugula,20.0
52,355,olive oil,28.0
52,356,homemade cured egg yolks,100.0
52,357,black pepper,5.0
53,358,apple,150.0
53,359,,0.0
53,360,,0.0
53,361,,0.0
54,362,bagel,250.0
54,363,butter,70.0
54,364,honey,150.0
54,365,salt,5.0
54,366,MSG,5.0
54,367,parsley powder,5.0
55,368,potato,150.0
55,369,garlic oil,14.0
55,370,salt,5.0
55,371,salmon,100.0
55,372,Japanese mayo,50.0
55,373,spring onions,20.0
55,374,tobiko,20.0
56,,,
57,375,fried dace,250.0
57,376,black beans,150.0
57,377,cooking oil,28.0
57,378,rice,200.0
57,379,garlic,10.0
57,380,shredded fish,120.0
58,381,egg,400.0
58,382,sugar,200.0
58,383,warm milk,250.0
58,384,melted butter,115.0
58,385,vanilla,5.0
58,386,all-purpose flour,250.0
58,387,tapioca flour,100.0
58,388,kuih balu mold,200.0
58,389,confectioner's sugar,100.0
58,390,unsalted butter,115.0
59,391,biscuits,3000.0
59,392,Milo powder,100.0
59,393,cocoa powder,100.0
59,394,salt,10.0
59,395,condensed milk,800.0
59,396,vanilla,10.0
59,397,cream,400.0
59,398,chocolate sauce,4000.0
59,399,butter,500.0
60,400,butter,100.0
60,401,milk,250.0
60,402,sugar,150.0
60,403,cake flour,200.0
60,404,egg yolks,120.0
60,405,vanilla,5.0
60,406,salt,2.0
60,407,egg whites,120.0
60,408,,150.0
61,409,century egg,200.0
61,410,egg,50.0
61,411,cheese,200.0
61,412,cooking oil,14.0
61,413,bacon,100.0
62,414,chicken,500.0
62,415,palm sugar,100.0
62,416,curry powder,20.0
62,417,coconut milk,400.0
62,418,chili sauce,50.0
62,419,sesame oil,20.0
62,420,salt,10.0
62,421,onion,100.0
62,422,ginger,20.0
63,423, chicken,500.0
63,424, ginger,20.0
63,425, garlic,15.0
63,426, butter,20.0
63,427, rice,800.0
63,428, chicken broth,200.0
63,429, ginger,15.0
63,430, garlic,15.0
63,431, lime,20.0
63,432, chili sauce,100.0
63,433, oil,20.0
64,434,vegetables,200.0
64,435,onion,150.0
64,436,apple,150.0
64,437,carrot,200.0
64,438,napa cabbage,150.0
64,439,spring onion,50.0
64,440,ginger,50.0
64,441,goji berries,100.0
64,442,chicken,1500.0
65,443,,100.0
65,444,,50.0
65,445,,30.0
65,446,,50.0
65,447,,100.0
66,448,chocolate,300.0
66,449,egg,100.0
66,450,strawberry,100.0
66,451,air,0.0
67,,,
68,452,puff pastry,250.0
68,453,cinnamon sugar,50.0
68,454,milk,200.0
68,455,croissant,1000.0
69,456,butter,28.0
69,457,sugar,200.0
69,458,egg,50.0
69,459,vanilla flour,30.0
69,460,salt,3.0
69,461,black sesame seeds,20.0
69,462,black sesame paste,15.0
69,463,tong yuen,100.0
70,464,Durian,200.0
70,465,Chicken,200.0
70,466,Potatoes,400.0
70,467,Carrots,400.0
70,468,Curry Paste,30.0
70,469,Water,500.0
71,470,,20.0
71,471,longan,100.0
71,472,lo-hon-gor,50.0
71,473,pandana,20.0
71,474,jaggery,20.0
71,475,espresso,50.0
72,476,,100.0
72,477,,0.0
72,478,,50.0
73,479,Kante,50.0
73,480,condensed milk,800.0
73,481,miso,50.0
73,482,kante powder,10.0
73,483,seaweed snack,50.0
73,484,whipped cream,800.0
73,485,kante sheets,50.0
74,486,,200.0
74,487,gula melaka,150.0
74,488,coconut milk,150.0
74,489,butter,100.0
74,490,sugar,200.0
74,491,eggs,180.0
74,492,gula melaka,150.0
74,493,longan,150.0
74,494,rum,50.0
74,495,flour,200.0
74,496,baking powder,25.0
74,497,salt,10.0
74,498,baking soda,25.0
75,499,white bread,280.0
75,500,butter,120.0
75,501,kaya jam,200.0
75,502,egg yolk,20.0
75,503,cooking oil,14.0
76,,,
77,,,
78,504,pandan leaf,200.0
78,505,coconut milk,400.0
78,506,egg,120.0
78,507,palm sugar,200.0
78,508, salt,5.0
78,509,cooking oil,14.0
78,510,flour,400.0
79,511,,450.0
79,512,,250.0
79,513,gula melaka,200.0
79,514,,800.0
79,515,egg,50.0
79,516,,28.0
80,517,garlic,10.0
80,518,ginger,10.0
80,519,chilies,10.0
80,520,Sichuan peppercorns,10.0
80,521,five-spice powder,10.0
80,522,Lao Gan Ma,10.0
80,523,egg,100.0
80,524,cream,100.0
80,525,soy sauce,50.0
80,526,sesame oil,50.0
80,527,spaghetti,10000.0
80,528,spring onions,20.0
81,,,
82,,,
83,529,golden syrup,48.0
83,530,lye water,100.0
83,531,oil,140.0
83,532,beef,175.0
83,533,mushroom duxelles,100.0
83,534,parma ham,85.0
83,535,pastry,115.0
84,536,ground beef,100.0
84,537,onion,50.0
84,538,kimchi,25.0
84,539,pasta,25.0
84,540,ricotta cheese,100.0
84,541,mozzarella cheese,150.0
84,542,tomato sauce,150.0
85,,,
86,543,,500.0
86,544,,250.0
86,545,,100.0
86,546,,150.0
86,547,,500.0
86,548,,10000.0
86,549,,10000.0
87,550,,250.0
87,551,egg,50.0
87,552,sugar,400.0
87,553,salt,10.0
87,554,baking powder,20.0
87,555,oil,70.0
87,556,sesame oil,20.0
88,,,
89,557,butter,28.0
89,558,pineapple jam,150.0
89,559,egg,100.0
89,560,sugar,100.0
89,561,sugar cane syrup,50.0
89,562,spices,10.0
89,563,  ,0.0
90,564,rice,200.0
90,565,chicken stock,500.0
90,566,chicken,120.0
90,567,abalone,80.0
90,568,ginger,20.0
90,569,spring onions,20.0
90,570,soy sauce,30.0
90,571,sesame oil,20.0
90,572,puff pastry,400.0
91,573,bacon,120.0
91,574,guanciale,70.0
91,575,egg,50.0
91,576,parmesan cheese,100.0
91,577,potato,200.0
91,578,potato starch,50.0
91,579,,0.0
92,580,potato,150.0
92,581,cooking oil,45.0
92,582,whipped cream,100.0
92,583,chicken,200.0
92,584,onion,70.0
92,585,carrot,100.0
92,586,Japanese curry,150.0
92,587,udon noodles,250.0
93,,,
94,588,,112.5
94,589,,28.5
94,590,,30.0
94,591,,15.0
94,592,,5.0
94,593,,2.5
94,594,,100.0
94,595,,6.0
94,596,,6.0
94,597,,18.0
94,598,,7.5
94,599,,3.0
94,600,,7.0
94,601,,3.0
94,602,,400.0
95,603,butter,14.0
95,604,sugar,7.5
95,605,egg,50.0
95,606,instant coffee,2.5
95,607,water,0.0
95,608,vanilla,1.5
95,609,flour,200.0
96,610,mushroom,50.0
96,611,cooking oil,28.0
96,612,salmon,180.0
96,613,Japanese mayo,120.0
96,614,spring onion,20.0
96,615,tobiko,20.0
97,,,
98,,,
99,616,,0.0
99,617,,200.0
99,618,,0.0
99,619,,0.0
99,620,,100.0
99,621,,0.0
99,622,,0.0
99,623,,350.0
99,624,,0.0
99,625,,0.0
99,626,,350.0
100,627,watermelon,150.0
100,628,tomato,80.0
100,629,mozzarella cheese,50.0
100,630,basil leaves,20.0
100,631,olive oil,28.0
100,632,balsamic vinegar,100.0
100,633,flaky salt and pepper,5.0
100,634,prosciutto,50.0
101,635,Flour,290.0
101,636,Sugar,27.0
101,637,Salt,11.0
101,638,Baking Powder,8.0
101,639,Yeast,10.0
101,640,Egg,50.0
101,641,Warm Milk,100.0
101,642,Tomato,220.0
101,643,Mozzarella Cheese,55.0
101,644,Prosciutto,55.0
101,645,Arugula,22.0
101,646,Olive Oil,12.0
101,647,Cured Egg Yolks,25.0
101,648,Black Pepper,6.0
102,649,apple,200.0
102,650,water,1.0
102,651,fridge,1000000.0
103,652,Bagels,1200.0
103,653,Butter,500.0
103,654,Honey,300.0
103,655,Salt,5.0
103,656,MSG,5.0
103,657,Parsley powder,5.0
104,658,Potatoes,250.0
104,659,Garlic Oil,15.0
104,660,Salt,2.0
104,661,Salmon,120.0
104,662,Japanese Mayo,20.0
104,663,Spring Onions,20.0
104,664,Tobiko,5.0
105,665,Banana,120.0
105,666,Milk,750.0
105,667,Whipping Cream,120.0
105,668,Vanilla,5.0
105,669,Cinnamon Powder,3.0
105,670,Egg Yolks,30.0
105,671,Sugar,50.0
106,672,Fried Dace,120.0
106,673,Salted Black Beans,100.0
106,674,Garlic,10.0
106,675,Pasta,100.0
106,676,Oil,20.0
107,677,Eggs,120.0
107,678,Sugar,800.0
107,679,Warm Milk,500.0
107,680,Melted Butter,170.0
107,681,Vanilla,10.0
107,682,Glutinous Rice Flour,100.0
107,683,Tapioca Flour,40.0
108,684,Butter,200.0
108,685,Milo Powder,20.0
108,686,Cocoa Powder,10.0
108,687,Salt,3.0
108,688,Condensed Milk,140.0
108,689,Vanilla,5.0
108,690,Biscuits (Mary Biscuit),120.0
108,691,Chocolate Sauce,80.0
108,692,Cream,30.0
109,693,Butter,50.0
109,694,Milk,28.35
109,695,All-purpose flour,100.0
109,696,Egg yolks,60.0
109,697,Vanilla extract,5.0
109,698,Salt,1.0
109,699,Egg whites,100.0
109,700,Sugar,50.0
110,701,Century Egg,120.0
110,702,Egg,50.0
110,703,Cheese,200.0
110,704,Black Pepper,5.0
110,705,Bacon,100.0
111,706,,600.0
111,707,ginger,50.0
111,708,spring onion,20.0
111,709,salt,5.0
111,710,coconut milk,400.0
111,711,chicken breast,400.0
111,712,chili sauce,50.0
111,713,water,2000.0
111,714,coconut milk,200.0
111,715,rice,1200.0
112,716,chicken breast,500.0
112,717,ginger,20.0
112,718,scallion,20.0
112,719,salt,5.0
112,720,pepper,2.0
112,721,garlic,15.0
112,722,butter,20.0
112,723,rice,200.0
112,724,chicken broth,300.0
112,725,ice cream scoop,50.0
112,726,lime juice,30.0
112,727,garlic,15.0
112,728,oil,15.0
112,729,scallion,20.0
112,730,ginger paste,20.0
113,731,onion,250.0
113,732,apple,150.0
113,733,carrot,100.0
113,734,napa cabbage,200.0
113,735,chicken,800.0
113,736,spring onions,50.0
113,737,ginger,20.0
113,738,goji berries,50.0
114,739,Century Eggs,150.0
114,740,Green Chilies,100.0
114,741,Garlic,20.0
114,742,Salt,5.0
114,743,Sesame,20.0
114,744,Soy Sauce,20.0
114,745,Vinegar,20.0
115,746,Coco Crunch,400.0
115,747,Strawberry,100.0
115,748,Milk,200.0
115,749,Vanilla extract,5.0
115,750,Sugar,20.0
116,751,Flour,250.0
116,752,Cornstarch,50.0
116,753,Sugar,150.0
116,754,Milk,500.0
116,755,Eggs,240.0
116,756,Butter,50.0
116,757,Vanilla Extract,5.0
116,758,Rum,15.0
116,759,Whipped Cream,200.0
116,760,Cobs,200.0
116,761,Oats,100.0
117,762,,200.0
117,763,Frozen Puff Pastry,250.0
117,764,Cinnamon and Sugar,50.0
117,765,Milk,100.0
117,766,,10.0
118,767,black sesame seeds,180.0
118,768,black sesame paste,45.0
118,769,eggs,120.0
118,770,all-purpose flour,225.0
118,771,butter,85.0
118,772,granulated sugar,190.0
118,773,salt,4.0
118,774,vanilla extract,10.0
119,775,Chicken breast,300.0
119,776,Potatoes,200.0
119,777,Carrots,150.0
119,778,Durian,100.0
119,779,Curry paste,20.0
119,780,Coconut milk,150.0
119,781,Fish sauce,10.0
119,782,Lime juice,20.0
119,783,Salt,5.0
119,784,Black pepper,2.0
120,785,Pandan,10.0
120,786,Gula Melaka,150.0
120,787,Longan,100.0
120,788,Nescafe Espresso Concentrate,100.0
120,789,Lo-Hon-Gor,50.0
121,,,
122,,,
123,790,Kante,450.0
123,791,Kante powder,15.0
123,792,Whipped cream,450.0
123,793,Condensed milk,300.0
123,794,Miso,100.0
123,795,Seaweed snack,50.0
124,796,Gula Melaka,400.0
124,797,Coconut Milk,1000.0
124,798,Butter,100.0
124,799,Sugar,150.0
124,800,Eggs,240.0
124,801,All-Purpose Flour,400.0
124,802,Baking Powder,10.0
124,803,Salt,5.0
124,804,Rum Soaked Longans,200.0
125,805,Hinaneese Bengali White Bread,1200.0
125,806,Butter,224.0
125,807,Kaya,400.0
125,808,Egg Yolks,72.0
126,809,Cheese,28.0
126,810,Cheese,56.0
126,811,Butter,14.0
126,812,Bread,120.0
126,813,Kimchi,80.0
126,814,Salt,1.0
127,815,all-purpose flour,350.0
127,816,bread flour,115.0
127,817,sugar,22.0
127,818,salt,12.0
127,819,yeast,5.0
127,820,butter,115.0
127,821,water,350.0
128,822,Pandan leaves,200.0
128,823,Coconut milk,250.0
128,824,Egg,50.0
128,825,Sugar,100.0
128,826,Salt,5.0
128,827,Oil,20.0
128,828,Flour,150.0
128,829,Gula Melaka,100.0
128,830,Grated Coconut,100.0
128,831,Palm Sugar,50.0
128,832,Salt,2.0
128,833,Pandan leaves,20.0
129,834,Gula Melaka,200.0
129,835,Flour,364.0
129,836,Rice,200.0
129,837,Tapioca Flour,120.0
129,838,Water,1200.0
129,839,Coconut Milk,450.0
129,840,Sugar,200.0
129,841,Salt,5.0
129,842,Nescafe Gold Intenso Instant Coffee,10.0
129,843,Water for Coffee,60.0
130,,,
131,844,Rose Syrup,250.0
131,845,Evaporated Milk,750.0
131,846,Fresh Pandan Leaves,200.0
131,847,Matcha Powder,10.0
132,848,pasta,100.0
132,849,mentaiko,50.0
132,850,egg,50.0
132,851,cream,25.0
132,852,soy sauce,10.0
132,853,cheese,20.0
132,854,black pepper,5.0
132,855,mayo,20.0
132,856,pasta water,100.0
133,857,Flour,226.0
133,858,Golden Syrup,97.0
133,859,Lye Water,97.0
133,860,Oil,45.0
133,861,Beef (Tenderloin),180.0
133,862,Mushroom Duxelles,90.0
133,863,Parma Ham,45.0
133,864,Mustard,9.0
133,865,Pastry Dough,226.0
134,866,Ground Beef,550.0
134,867,Onion,100.0
134,868,Kimchi,50.0
134,869,Tomato Sauce,550.0
134,870,Pasta Pieces,100.0
134,871,Ricotta Cheese,220.0
134,872,Mozzarella Cheese,200.0
134,873,Salt and Pepper,5.0
134,874,Olive Oil,17.0
134,875,Water,250.0
135,876,Egg Whites,120.0
135,877,Sugar,400.0
135,878,Corn Flour,170.0
135,879,Egg Yolks,60.0
135,880,All-Purpose Flour,200.0
135,881,Salt,5.0
135,882,Milk,20.0
135,883,Honey,50.0
135,884,Soy Sauce,20.0
135,885,Vanilla Extract,5.0
136,886,,280.0
136,887,,130.0
136,888,,55.0
136,889,,110.0
136,890,,220.0
137,891,Peanut Butter,120.0
137,892,All-Purpose Flour,100.0
137,893,Sugar,50.0
137,894,Salt,5.0
137,895,Baking Powder,10.0
137,896,Oil,20.0
137,897,Sesame Oil,10.0
137,898,Peanuts,200.0
138,899,Sweet Cream,120.0
138,900,Caramel,14.0
138,901,Berries,150.0
138,902,Pickles,200.0
138,903,Shaved Ice,100.0
139,904,flour,225.0
139,905,yeast,5.0
139,906,sugar,90.0
139,907,milk,135.0
139,908,salt,5.0
139,909,butter,45.0
139,910,pineapple,500.0
139,911,eggs,30.0
139,912,sugar,40.0
139,913,spices,5.0
140,914,chicken,500.0
140,915,rice,200.0
140,916,abalone,100.0
140,917,ginger,20.0
140,918,spring onions,40.0
140,919,soy sauce,10.0
140,920,sesame oil,20.0
140,921,puff pastry,200.0
141,922,Potatoes,1000.0
141,923,Potato Starch,100.0
141,924,Water,0.0
141,925,Egg,120.0
141,926,Parmesan Cheese,80.0
141,927,Black Pepper,5.0
141,928,Bacon,300.0
142,929,potatoes,250.0
142,930,onions,110.0
142,931,carrots,60.0
142,932,chicken breast or thighs,120.0
142,933,Japanese curry mix,15.0
142,934,whipped cream,15.0
142,935,udon noodles,80.0
143,936,Eggs,120.0
143,937,Butter,50.0
143,938,Milk,250.0
143,939,Sugar,50.0
143,940,Salt,2.0
143,941,Baking Powder,2.0
143,942,Vanilla,5.0
143,943,Cinnamon,1.0
143,944,Rice Paper,100.0
144,945,Butter,60.0
144,946,Sugar,50.0
144,947,Instant Coffee,10.0
144,948,Egg,100.0
144,949,Vanilla,5.0
144,950,Flour,180.0
144,951,Baking Powder,10.0
144,952,Salt,5.0
145,953,Milk,60.0
145,954,Sugar,50.0
145,955,Egg,50.0
145,956,Coffee,10.0
145,957,Vanilla,10.0
145,958,Flour,150.0
145,959,Butter,100.0
146,960,Salmon,350.0
146,961,Potatoes,450.0
146,962,Tobiko,20.0
146,963,Spring Onions,10.0
146,964,Garlic Oil,15.0
146,965,Japanese Mayo,10.0
147,966,mandarin oranges,15000.0
147,967,sugar,1000.0
147,968,eggs,200.0
147,969,flour,364.0
147,970,baking powder,20.0
147,971,baking soda,20.0
147,972,salt,5.0
147,973,butter,500.0
147,974,palm sugar,1000.0
147,975,cream,1000.0
148,976,,500.0
148,977,rice,500.0
148,978,seaweed,100.0
148,979,sesame seeds,50.0
148,980,sesame oil,50.0
148,981,ground beef bulgogi,300.0
149,982,Thai Tea Leaves,50.0
149,983,Heavy Cream,400.0
149,984,Eggs,120.0
149,985,Granulated Sugar,200.0
149,986,Coconut Flakes,100.0
149,987,Loaf Tin,0.0
149,988,Tin Lining (Optional),20.0
150,989,watermelon,500.0
150,990,tomatoes,200.0
150,991,mozzarella,80.0
150,992,basil,20.0
150,993,olive oil,15.0
150,994,balsamic vinegar,15.0
150,995,flaky salt,10.0
150,996,pepper,10.0
150,997,prosciutto,50.0
151,998,,12000.0
151,999,,100.0
151,1000,,5.0
151,1001,,5.0
151,1002,,5.0
151,1003,,50.0
151,1004,,5.0
151,1005,Prosciutto,100.0
151,1006,Arugula,20.0
151,1007,Olive Oil,50.0
151,1008,,5.0
151,1009,,5.0
151,1010,,10.0
151,1011,,25.0
151,1012,,25.0
151,1013,,5.0
152,1014,apple,150.0
153,1015,Bagels,200.0
153,1016,Unsalted Butter,57.0
153,1017,Honey,21.0
153,1018,Salt,3.0
153,1019,Monosodium Glutamate (MSG) - Optional,5.0
153,1020,Parsley Powder,6.0
154,,,
155,1021,banana,100.0
155,1022,milk,200.0
155,1023,whipping cream,80.0
155,1024,vanilla extract,5.0
155,1025,cinnamon powder,5.0
155,1026,,30.0
155,1027,,80.0
156,1028,,2000.0
156,1029,Salted Black Beans,100.0
156,1030,Pasta,2000.0
156,1031,Garlic,50.0
156,1032,Olive Oil,100.0
156,1033,Dace,2000.0
157,1034,,0.0
157,1035,milk,50.0
157,1036,butter,15.0
157,1037,vanilla,5.0
157,1038,glutinous rice flour,50.0
157,1039,tapioca flour,50.0
158,1040,Butter,50.0
